Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Artwork frame material (product.metafields.shopify.artwork-frame-material),Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Material (product.metafields.shopify.material),Shape (product.metafields.shopify.shape),Tableware material (product.metafields.shopify.tableware-material),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ragi-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/RD4.jpg?v=1768466660,4,"",,,,,,,,,,,,,,,,,
ragi-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/RD3.jpg?v=1768466660,5,"",,,,,,,,,,,,,,,,,
millet-and-moringa-dosa-mix-200g,Millet and Moringa Dosa Mix 200g,"<div>
<h3>Product Description</h3>
<div data-content-type=""row"" data-appearance=""contained"" data-element=""main"">
<div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""C1E39JH"">
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"">
<p> Ancient Grains. Yogic Greens. Wholesome Nourishment.</p>
<p>Crafted from time-honoured millets and the revered Moringa leaf, this dosa mix is a wholesome blend of tradition, taste, and well-being. Featuring Foxtail, Little Millets, Moringa, the yogic elixir rich in essential nutrients, this mix is designed to nourish the mind and body.</p>
<p>Each crisp dosa is more than just a meal, it’s a wholesome offering of gluten-free grains, natural antioxidants, and fiber-rich goodness to support your energy, digestion, and overall vitality.</p>
<p> </p>
</div>
</div>
</div>
</div>
<div>
<h3>More Information</h3>
<div class=""additional-attributes-wrapper table-wrapper"">
<table class=""data table additional-attributes"" id=""product-attribute-specs-table"">
<caption class=""table-caption"">More Information</caption>
<tbody>
<tr>
<td class=""col label sku"" scope=""row"">SKU:</td>
<td class=""col data sku"">NF0014606601</td>
</tr>
</tbody>
</table>
</div>
</div>",Isha Life,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Batter & Coating Mixes",Natural Foods,New Arrivals,true,Title,Default Title,,,,,,,,NF0014606601,250.0,shopify,7,deny,manual,5.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0072/6994/1333/files/MM3.jpg?v=1768314692,1,"",false,,,1,,,,,,,,,,kg,,,active
millet-and-moringa-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/MM9.jpg?v=1768314692,2,"",,,,,,,,,,,,,,,,,
millet-and-moringa-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/MM8.jpg?v=1768314692,3,"",,,,,,,,,,,,,,,,,
millet-and-moringa-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/MM7.jpg?v=1768314692,4,"",,,,,,,,,,,,,,,,,
millet-and-moringa-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/MM6.jpg?v=1768314692,5,"",,,,,,,,,,,,,,,,,
millet-and-moringa-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/MM5.jpg?v=1768314692,6,"",,,,,,,,,,,,,,,,,
millet-and-moringa-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/MM4.jpg?v=1768314692,7,"",,,,,,,,,,,,,,,,,
millet-and-moringa-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/MM2.jpg?v=1768314692,8,"",,,,,,,,,,,,,,,,,
millet-and-moringa-dosa-mix-200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/MM1.jpg?v=1768314692,9,"",,,,,,,,,,,,,,,,,
coconut-oil-200-ml,"Coconut Oil, 200 ml","<div>
<h3>Product Details</h3>
<p><strong> Why Isha Life's Coconut Oil?</strong></p>
<ul>
<li class="""" data-start=""229"" data-end=""268"">
<p class="""" data-start=""231"" data-end=""268""><strong data-start=""231"" data-end=""244"">100% pure</strong>, sulfur-free edible oil</p>
</li>
<li class="""" data-start=""269"" data-end=""304"">
<p class="""" data-start=""271"" data-end=""304"">Made from the<span> </span><strong data-start=""285"" data-end=""304"">finest coconuts</strong></p>
</li>
<li class="""" data-start=""305"" data-end=""333"">
<p class="""" data-start=""307"" data-end=""333""><strong data-start=""307"" data-end=""333"">High nutritional value</strong></p>
</li>
<li class="""" data-start=""334"" data-end=""385"">
<p class="""" data-start=""336"" data-end=""385"">Suitable for<span> </span><strong data-start=""349"" data-end=""360"">cooking</strong><span> </span>and<span> </span><strong data-start=""365"" data-end=""385"">topical skincare</strong></p>
</li>
<li class="""" data-start=""386"" data-end=""459"">
<p class="""" data-start=""388"" data-end=""459"">Supports<span> </span><strong data-start=""397"" data-end=""417"">rural upliftment</strong><span> </span>through Isha Foundation outreach projects</p>
</li>
</ul>
<p><strong>Shelf life information</strong><br>Best before 6 months from the date of manufacturing</p>
</div>
<div>
<h3>Product Description</h3>
<p><span>The ancient wisdom of Ayurveda says don’t put anything on your skin that you cannot eat. Isha Life's sulfur-free coconut oil is flavourful, aromatic and is produced through a traditional process that preserves its natural nutrients.</span></p>
<p><span>Its high level of antioxidants, vitamins and minerals are perfect for overall well-being, when consumed and applied topically. Be it a full body massage or a drizzle in your favourite recipe, our premium quality 100% pure, edible coconut oil makes the cut.</span></p>
</div>
<div>
<h3>More Information</h3>
<div class=""additional-attributes-wrapper table-wrapper"">
<table class=""data table additional-attributes"" id=""product-attribute-specs-table"">
<caption class=""table-caption"">More Information</caption>
<tbody>
<tr>
<td class=""col label sku"" scope=""row"">SKU:</td>
<td class=""col data sku"">NF0004803301</td>
</tr>
</tbody>
</table>
</div>
</div>",Isha Life,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cooking Oils > Coconut Oil",Body Care - Oils,New Arrivals,true,Title,Default Title,,,,,,,,NF0004803301,200.0,shopify,10,deny,manual,9.00,,true,true,,,,,8905795000070,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/CO1.jpg?v=1768314314,1,"",false,,,,,,,,,,,,,kg,,,active
coconut-oil-200-ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/CO2.jpg?v=1768314314,2,"",,,,,,,,,,,,,,,,,
coconut-oil-200-ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/CO4.jpg?v=1768314314,3,"",,,,,,,,,,,,,,,,,
coconut-oil-200-ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/CO3.jpg?v=1768314314,4,"",,,,,,,,,,,,,,,,,
womens-100-undyed-organic-cotton-kurta-with-embroidered-aum-undyed,"Women's 100% Undyed Organic Cotton Kurta With Embroidered ""Aum"" - Undyed","<div>
<h3>Product Description</h3>
<p dir=""ltr"">This off-white cotton kurta with 'Aum' embroidery, is made of handspun cotton yarn woven on a single-spindle charkha.</p>
<p dir=""ltr"">Handwoven fabric from Gandhigram Handspun is unique because of the geometric checks and stripes woven in the fabric, in addition to plain textures. The use of natural dyes is also a tradition kept alive by Gandhigram Handspun whose work not only to keeps alive the nation’s heritage, but also provides a livelihood to nearly two thousand people.</p>
<p dir=""ltr"">This kurta comes with half sleeves, a Mandarin collar and three buttons placket. Add this traditional 'Aum' cotton kurta to your ethnic wardrobe.</p>
<p><strong>Why Isha Life’s Undyed Organic Cotton AUM Kurta?</strong></p>
<p><span>-</span><span>          </span><span>Pure organic cotton, free of toxic elements</span></p>
<p><span>-</span><span>          </span><span>Extremely functional and comfortable fit</span></p>
<p><span>-</span><span>          </span><span>Environment-friendly and skin-friendly</span></p>
<p><span>-</span><span>          </span><span>Features an embroidered AUM</span></p>
<p><strong> </strong><strong>Sadhguru Says:</strong><span> </span><em><span>“The kind of clothes you wear can impact your physical and mental health and wellbeing.”</span></em><a href=""https://isha.sadhguru.org/in/en/wisdom/article/why-organic-clothing-benefits-of-organic-cotton""><span> </span><span>Read more.</span></a></p>
</div>
<div>
<h3>More Information</h3>
<div class=""additional-attributes-wrapper table-wrapper"">
<table class=""data table additional-attributes"" id=""product-attribute-specs-table"">
<caption class=""table-caption"">More Information</caption>
<tbody>
<tr>
<td class=""col label sku"" scope=""row"">SKU:</td>
<td class=""col data sku"">CA00995</td>
</tr>
<tr>
<td class=""col label type_of_fabric"" scope=""row"">Type Of Fabric:</td>
<td class=""col data type_of_fabric"">Cotton</td>
</tr>
</tbody>
</table>
</div>
</div>",Isha Life,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Women - Kurtas & Tops,New Arrivals,true,Size,S,,,,,,,,CA0099500200,0.0,shopify,5,deny,manual,30.00,,true,true,,,,,0202546,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/UK5.jpg?v=1768313912,1,"",false,,,,,,,,,,,,,kg,,,active
womens-100-undyed-organic-cotton-kurta-with-embroidered-aum-undyed,,,,,,,,,M,,,,,,,,CA0099500300,0.0,shopify,5,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0072/6994/1333/files/UK4.jpg?v=1768313912,2,"",,,,,,,,,,,,,,kg,,,
womens-100-undyed-organic-cotton-kurta-with-embroidered-aum-undyed,,,,,,,,,L,,,,,,,,CA0099500400,0.0,shopify,5,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0072/6994/1333/files/UK3.jpg?v=1768313912,3,"",,,,,,,,,,,,,,kg,,,
womens-100-undyed-organic-cotton-kurta-with-embroidered-aum-undyed,,,,,,,,,XL,,,,,,,,CA0099500500,0.0,shopify,0,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0072/6994/1333/files/UK2.jpg?v=1768313912,4,"",,,,,,,,,,,,,,kg,,,
womens-100-undyed-organic-cotton-kurta-with-embroidered-aum-undyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/UK1.jpg?v=1768313912,5,"",,,,,,,,,,,,,,,,,
womens-100-organic-cotton-kurta-with-embroidered-aum-white,"Women's 100% Organic Cotton Kurta with Embroidered ""Aum"" - White","<div>
<h3>Product Details</h3>
<ul class=""listing"">
<li><span>Organic Cotton fabric</span></li>
<li><span>White color</span></li>
<li><span>Half sleeves</span></li>
<li><span>Multiple slits</span></li>
<li><span>Embroidered Aum at the front and on the sleeve</span></li>
<li><span>Mandarin collar having three buttons placket</span></li>
</ul>
</div>
<div>
<h3>Product Description</h3>
<div data-content-type=""html"" data-appearance=""default"" data-element=""main"" data-decoded=""true"">
<p dir=""ltr"">This white cotton kurta with 'Aum' embroidery, is made of handspun cotton yarn woven on a single-spindle charkha.</p>
<p dir=""ltr"">Handwoven fabric from Gandhigram Handspun is unique because of the geometric checks and stripes woven in the fabric, in addition to plain textures. The use of natural dyes is also a tradition kept alive by Gandhigram Handspun whose work not only to keeps alive the nation’s heritage, but also provides a livelihood to nearly two thousand people.</p>
<p dir=""ltr"">This kurta comes with half sleeves, a Mandarin collar and three buttons placket. Add this traditional 'Aum' cotton kurta to your ethnic wardrobe.</p>
</div>
</div>
<div>
<h3>More Information</h3>
<div class=""additional-attributes-wrapper table-wrapper"">
<table class=""data table additional-attributes"" id=""product-attribute-specs-table"">
<caption class=""table-caption"">More Information</caption>
<tbody>
<tr>
<td class=""col label sku"" scope=""row"">SKU:</td>
<td class=""col data sku"">CA00990</td>
</tr>
<tr>
<td class=""col label type_of_fabric"" scope=""row"">Type Of Fabric:</td>
<td class=""col data type_of_fabric"">Cotton</td>
</tr>
</tbody>
</table>
</div>
</div>",Isha Life,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Clothing - Women's Kurtas,New Arrivals,true,Size,S,,,,,,,,0202528 S,0.0,shopify,5,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0072/6994/1333/files/AK1_e6d0ade6-b105-4c11-9228-9e13b93e4be8.jpg?v=1768306018,1,"",false,,,,,,,,,,,,,kg,,,active
womens-100-organic-cotton-kurta-with-embroidered-aum-white,,,,,,,,,L,,,,,,,,0202528 L,0.0,shopify,4,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0072/6994/1333/files/AK6.jpg?v=1768306018,2,"",,,,,,,,,,,,,,kg,,,
womens-100-organic-cotton-kurta-with-embroidered-aum-white,,,,,,,,,XL,,,,,,,,0202528 XL,0.0,shopify,0,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0072/6994/1333/files/AK4.jpg?v=1768306018,3,"",,,,,,,,,,,,,,kg,,,
womens-100-organic-cotton-kurta-with-embroidered-aum-white,,,,,,,,,M,,,,,,,,0202528 M,0.0,shopify,5,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0072/6994/1333/files/AK3_01a3c0b8-3197-405f-86cb-15c34032777d.jpg?v=1768306018,4,"",,,,,,,,,,,,,,kg,,,
womens-100-organic-cotton-kurta-with-embroidered-aum-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/AK5.jpg?v=1768306018,5,"",,,,,,,,,,,,,,,,,
womens-100-organic-cotton-kurta-with-embroidered-aum-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/Ak2_e37c53d7-5123-407e-b554-861a21e575ca.jpg?v=1768306018,6,"",,,,,,,,,,,,,,,,,
womens-100-organic-cotton-kurta-with-embroidered-aum-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/AK7.jpg?v=1768306018,7,"",,,,,,,,,,,,,,,,,
organic-ladies-dhoti-pant-undyed,Women's 100% Organic Undyed Cotton Dhoti Pant - Off-White,"<div>
<h3>Product Details</h3>
<p> </p>
</div>
<div>
<h3>Product Description</h3>
<p dir=""ltr"">This relaxed fit ladies white dhoti pant gently combines usefulness and style. These pants, custom designed for women, are sleeker and well fitted. With convenient drawstring fasteners at the waist that can be fastened at the sides, for a fuss-free look. No elastic at the waistband for a cleaner finish and better comfort.</p>
<p>Suitable for yoga practices as well as everyday wear it allows you to combine the utmost comfort with that inimitable Isha style.</p>
</div>
<div>
<h3>More Information</h3>
<div class=""additional-attributes-wrapper table-wrapper"">
<table id=""product-attribute-specs-table"" class=""data table additional-attributes"">
<caption class=""table-caption"">More Information</caption>
<tbody>
<tr>
<td scope=""row"" class=""col label sku"">SKU:</td>
<td class=""col data sku"">CA01083</td>
</tr>
</tbody>
</table>
</div>
</div>",Isha Life SG,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Women - Dhoti,"Dhoti Pants, New Arrivals",true,Size,S,,,,,,,,Organic Ladies Dhoti Pant Undyed-1,300.0,shopify,0,deny,manual,30.00,,true,true,,,,,0202550 S,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/Dp3.jpg?v=1762345644,1,"",false,,,,,,,,,,,,,kg,,,active
organic-ladies-dhoti-pant-undyed,,,,,,,,,M,,,,,,,,Organic Ladies Dhoti Pant Undyed-2,300.0,shopify,0,deny,manual,30.00,,true,true,,,,,0202550 M,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/Dp2.jpg?v=1762345644,2,"",,,,,,,,,,,,,,kg,,,
organic-ladies-dhoti-pant-undyed,,,,,,,,,L,,,,,,,,CA0108300400,300.0,shopify,5,deny,manual,30.00,,true,true,,,,,0202550 L,https://cdn.shopify.com/s/files/1/0072/6994/1333/files/Dp1.jpg?v=1762345644,3,"",,,,,,,,,,,,,,kg,,,
